final,name,open,started,succeeded,selfTestFail,errors,patterns,snippets,initialUrl,finalUrl
True,iubenda,True,True,True,False,[],"['/use of cookies/gi', '/cookies (and|or) .* technologies/gi', '/consent to.*cookies/gi', '/store and\\/or access information.*on a device/gi']","['Use of cookies', 'cookies or similar technologies', 'cookies and keep browsing. If you click on ""Accept and close"" you will consent to all cookies or similar technologies', 'consent to the profiling cookies and keep browsing. If you click on ""Accept and close"" you will consent to all cookies or similar technologies. If you click on ""Cookie Settings"" you will able to confi', 'store and/or access information on a device']",http://altervista.org/,https://en.altervista.org/
True,Complianz notice,True,True,True,False,[],['/(this|our) (web)?site.*cookies/gi'],['This website uses cookies'],http://ams.org/,https://www.ams.org/home/page
False,,False,False,False,False,[],"['/accept all/gi', '/reject all/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/we and our partners.*cookies/gi']","['Accept all', 'Reject all', 'we use cookies', 'our sites and apps, we use cookies', 'we and our partners (including 239 who are part of the IAB Transparency & Consent Framework) will also use cookies']",http://aol.co.uk/,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e5e794e9-b1f4-4bc6-a368-f4b948a20393
False,,False,False,False,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi', '/we (use|serve)( optional)? cookies/gi']","['Accept All', 'By clicking “Accept All,” you agree', 'We use cookies']",http://artsy.net/,https://www.artsy.net/
True,cookie-notice,True,True,True,False,[],[],[],http://atlanticcouncil.org/,https://www.atlanticcouncil.org/
False,,False,False,False,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/consent to.*cookies/gi']","['By continuing', 'We use cookies', 'our website traffic. By continuing to use our website, you consent to our cookies', 'consent to our cookies']",http://unacademy.com/,https://unacademy.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'By clicking “Accept All Cookies”, you agree']",http://unbounce.com/,https://unbounce.com/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'By clicking “Accept All Cookies”, you agree']",http://unbouncepages.com/,https://unbounce.com/
True,generic-cosmetic,True,True,True,False,[],"['/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi']","['This website uses cookies', 'cookies and similar technologies']",http://unc.edu/,https://www.unc.edu/
False,TrustArc-top,True,True,False,False,[],[],[],http://underarmour.com/,https://www.underarmour.com/en-us/
True,Onetrust,True,True,True,False,[],"['/accept cookies/gi', '/reject all/gi', '/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi']","['Accept Cookies', 'Reject All', 'This website uses cookies', 'cookies and other tracking technologies']",http://undertone.com/,https://www.undertone.com/
True,eu-cookie-compliance-banner,True,True,True,False,[],"['/we (use|serve)( optional)? cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['We use cookies', 'we use cookies', 'this site to enhance your user experience. For more information on how we use cookies']",http://unesco.org/,https://www.unesco.org/en
True,generic-cosmetic,True,True,True,False,[],[],[],http://nuget.org/,https://www.nuget.org/
True,Complianz notice,True,True,True,False,[],"['/by clicking.*(accept|agree|allow)/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['By clicking accept or continuing to use this site, you agree', 'use of cookies', 'This site uses cookies. By clicking accept or continuing to use this site, you agree to our use of cookies']",http://nus.edu.sg/,https://nus.edu.sg/
False,Onetrust,True,True,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://nutanix.com/,https://www.nutanix.com/
True,Onetrust,True,True,True,False,[],[],[],http://nvidia.com/,https://www.nvidia.com/en-us/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi']","['Accept All', 'By clicking “Accept All Cookies”, you agree']",http://nyse.com/,https://www.nyse.com/index
False,,False,False,False,False,[],"['/(this|our) (web)?site.*cookies/gi', '/we and our partners.*cookies/gi']","['our website and to provide you with offers and improve our own Tinder marketing operations. More info on cookies', 'We and our partners use trackers to measure the audience of our website and to provide you with offers and improve our own Tinder marketing operations. More info on cookies']",http://gotinder.com/,https://tinder.com/
True,tarteaucitron.js,True,True,True,False,[],"['/accept all/gi', '/(this|our) (web)?site.*cookies/gi']","['accept all', 'This site uses cookies to measure site traffic in order to improve its operation and administration and, with your consent, to evaluate the performance of government information campaigns and improve ']",http://gouvernement.fr/,https://www.gouvernement.fr/
False,,False,False,False,False,[],['/(this|our) (web)?site.*cookies/gi'],['This website uses cookies'],http://govee.com/,https://us.govee.com/
True,Onetrust,True,True,True,False,[],"['/we.*store.*information.*such as.*cookies/gi', '/store and\\/or access information.*on a device/gi']","['We and our 143 partners store and/or access information on a device, such as unique IDs in cookies', 'store and/or access information on a device', 'Store and/or access information on a device']",http://gq-magazine.co.uk/,https://www.gq-magazine.co.uk/
True,Onetrust,True,True,True,False,[],"['/accept all/gi', '/by clicking.*(accept|agree|allow)/gi', '/use of cookies/gi']","['Accept All', 'By clicking “Accept All Cookies”, you agree', 'Use of Cookies']",http://grab.com/,https://www.grab.com/sg/
True,Onetrust,True,True,True,False,[],"['/reject all/gi', '/we.*store.*information.*such as.*cookies/gi', '/store and\\/or access information.*on a device/gi']","['Reject All', 'We and our 14 partners store and/or access information on a device, such as unique IDs in cookies', 'store and/or access information on a device', 'Store and/or access information on a device']",http://bmj.com/,https://www.bmj.com/
True,tarteaucitron.js,True,True,True,False,[],"['/accept all/gi', '/(this|our) (web)?site.*cookies/gi']","['ACCEPT ALL', 'This site uses cookies']",http://bnf.fr/,https://www.bnf.fr/fr
False,,False,False,False,False,[],['/by clicking.*(accept|agree|allow)/gi'],"['By clicking the following registration button, you agree']",http://boardgamearena.com/,https://en.boardgamearena.com/
False,Onetrust,True,True,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://boeing.com/,https://www.boeing.com/
False,Onetrust,True,True,False,False,[],"['/by continuing/gi', '/use of cookies/gi']","['By continuing', 'use of cookies']",http://fairmont.com/,https://www.fairmont.com/
True,com_springer,True,True,True,False,[],[],[],http://fakt.pl/,https://www.fakt.pl/
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://fanfiction.net/,https://www.fanfiction.net//
False,,False,False,False,False,[],['/by clicking.*(accept|agree|allow)/gi'],"['By clicking on the ""Enter"" button, and by entering this website you agree']",http://fansly.com/,https://fansly.com/
True,quantcast,True,True,True,False,[],[],[],http://fantacalcio.it/,https://www.fantacalcio.it/
False,,False,False,False,False,[],"['/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi']","['use of cookies', 'USE OF COOKIES', 'THIS WEBSITE CONTAINS MATERIAL THAT IS SEXUALLY EXPLICIT (including pornographic materials). You must be at least eighteen (18) years of age to use this Website, unless the age of majority in your jur', 'THIS WEBSITE AND USING THIS WEBSITE YOU AGREE TO OUR PRIVACY POLICY AND THE USE OF COOKIES']",http://faphouse.com/,https://faphouse.com/
False,TrustArc-top,True,True,False,False,[],"['/by continuing/gi', '/we (use|serve)( optional)? cookies/gi', '/use of cookies/gi', '/(this|our) (web)?site.*cookies/gi', '/cookies (and|or) .* technologies/gi']","['By continuing', 'We use cookies', 'use of cookies', 'this site for various purposes, including to enhance site performance, personalize your experience, and deliver interest-based ads. By continuing to use this site, you agree to our use of cookies', 'cookies and web tracking technologies on this site for various purposes, including to enhance site performance, personalize your experience, and deliver interest-based ads. By continuing to use this s']",http://westerndigital.com/,https://www.westerndigital.com/
False,,False,False,False,False,[],['/by clicking.*(accept|agree|allow)/gi'],['By clicking “Register” you agree'],http://westernunion.com/,https://www.westernunion.com/us/en/home.html
False,,False,False,False,False,[],['/we (use|serve)( optional)? cookies/gi'],['We use cookies'],http://wetransfer.com/,https://wetransfer.com/
False,,False,False,False,False,[],['/use of cookies/gi'],['use of cookies'],http://wetvinfo.com/,https://wetv.vip/en
