website,source,size,hash
www.novosti.rs,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.obozrevatel.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.orange.fr,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.outsideonline.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.parismatch.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.parlons-basket.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.pcgamer.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.pciconcursos.com.br,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.pinkvilla.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.popsci.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.portfolio.hu,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.programme-television.org,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.proxysite.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.publico.es,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.publico.pt,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.pulzo.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.rappler.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.record.pt,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.rtl.fr,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.rugbyrama.fr,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
taz.de,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
theweek.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
townhall.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
twittervideodownloader.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
ukrainianwall.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
voz.vn,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
vtc.vn,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
weathernews.jp,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
weblio.jp,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.3bmeteo.com,securepubads.g.doubleclick.net/td/sjs,33562,71b5d2df8b46db8a59a213b7ac39ff75fd91f48b96f4dc8205fc8f3f60d6a30c
www.91mobiles.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.aksam.com.tr,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.almasryalyoum.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.andhrajyothy.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.andhrajyothy.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.androidauthority.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.ansa.it,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.antena3.com,t.seedtag.com/ps/seller/decision-logic.js,1742,2c006ff82462eae7f88419d76beed8dc1b2f9c1c84c3f06e0ebb261839640092
www.askmen.com,securepubads.g.doubleclick.net/td/sjs,33569,fa9a4ad63a8aef9f7d1c79bdc01704b06b0fb564b865d375d68468f1f48d3224
www.b92.net,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
www.baltimoresun.com,securepubads.g.doubleclick.net/td/sjs,33529,854cc8e1f66a59a2a80bac73a8d6f52b12a1a0ef4e27c75046071b9cbafd06ed
